,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-6.3,-6.4,-6.8,-7.2,-7.8,-8.5,-9.2,-9.9,-10.7,-11.4,-12.1,-12.7,-13.3,-13.7,-13.9
10,-12.7,-13.7,-14.6,-15.2,-15.8,-16.3,-16.8,-17.3,-17.9,-18.6,-19.5,-20.5,-21.9,-23.5,-25.5
15,-22.5,-22.3,-22.6,-23.2,-23.9,-24.6,-25.3,-25.8,-26.2,-26.7,-27.5,-29.0,-31.9,-36.8,-44.8
20,-30.8,-31.2,-31.5,-32.3,-33.1,-33.5,-33.5,-33.4,-33.6,-34.6,-36.8,-40.6,-46.3,-53.8,-62.7
25,-40.1,-41.4,-41.9,-42.0,-41.8,-41.6,-41.6,-42.0,-43.1,-45.3,-48.8,-54.0,-61.1,-70.5,-82.7
30,-51.0,-51.4,-51.4,-51.1,-50.9,-50.8,-51.2,-52.4,-54.4,-57.7,-62.3,-68.6,-76.8,-87.1,-99.7
35,-61.9,-61.7,-61.4,-61.1,-61.0,-61.3,-62.0,-63.5,-66.0,-69.4,-74.2,-80.3,-88.1,-97.7,
40,-72.1,-73.3,-73.7,-73.4,-72.9,-72.4,-72.4,-73.1,-74.8,-78.0,-82.8,-89.7,,,
45,-84.4,-84.4,-84.5,-84.6,-84.8,-84.9,-85.0,-85.1,-85.2,-85.3,,,,,
50,-96.7,-96.8,-96.8,-96.9,-97.0,-97.1,-97.1,-97.2,-97.3,,,,,,
