,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.4,15.5,15.6,15.5,15.3,15.1,15.0,14.8,14.7,14.7,14.7,14.7,14.8,14.9,15.0
10,27.3,27.5,27.4,27.1,26.7,26.4,26.1,25.9,25.8,25.8,25.8,25.7,25.5,25.0,24.1
15,36.9,37.2,37.1,36.8,36.5,36.1,35.9,35.7,35.6,35.5,35.2,34.7,33.7,32.1,29.6
20,46.4,46.1,46.0,45.8,45.8,45.7,45.6,45.4,45.0,44.5,43.6,42.2,40.4,37.8,34.3
25,55.5,54.7,54.4,54.5,54.7,54.9,54.9,54.5,53.8,52.6,50.9,48.7,45.9,42.6,38.9
30,63.3,63.3,63.4,63.5,63.6,63.5,63.2,62.6,61.5,59.9,57.7,54.9,51.2,46.7,41.2
35,72.1,71.5,71.4,71.6,72.0,72.2,72.0,71.4,70.0,67.7,64.2,59.4,53.0,44.8,
40,79.6,80.4,80.2,79.7,79.5,79.8,80.2,80.5,79.6,76.5,69.5,56.9,,,
45,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.2,88.2,,,,,
50,97.0,96.9,96.9,96.8,96.7,96.6,96.6,96.5,96.4,,,,,,
